kategoria,produkt,opinia
Sport,Białko WPC 114,"Białko jest w porządku, choć nie bez wad. Smak jest przyjemny, ale wymaga długiego mieszania, by całkowicie się rozpuściło. Konsystencja nie zawsze wychodzi idealna, ale ogólnie produkt spełnia swoje zadanie jako uzupełnienie diety."
telefony,Samsung B2710 SOLID ,"Świetny telefon, idealny do pracy na budowie i w trudnych warunkach."
AGD,odkurzacz,"Używam go od kilku lat. Był kupiony jako odkurzacz z filtrem wodnym. Do tej pory zero problemów. Z wad: trochę ciężki z woda(problem dla zony nie dla mnie), mógł być dłuższy przewód (stale dopinam przedłużacz 2m), rolki w szczotce zaczęły spadać (wstawiłem długą śrubę jako osokę i problem znikł), oryginalna dysza dużej ssawy nie rozpylała wody tylko lala strumieniem w jeden pkt. (odpowiednie uformowanie końcówki i jest ok). Dopracowanie tych rzeczy i dałbym 6 a tak tylko 5. Polecam."
telefony,Sony Ericsson K750i ,"Jest funkcjonalny, ale nie wyróżnia się niczym szczególnym."
AGD,lodówka,"Urządzenie działa, ale sprawia wiele problemów. Drzwi zamrażalnika są nieszczelne, co powoduje oszranianie się wnętrza. Półki są nietrwałe, a uchwyty wyglądają, jakby miały się zaraz oderwać. Nie jestem zadowolony z zakupu. "
Odzież,Koszulka,"Najwyższa jakość, świetnie wygląda i bardzo dobrze się nosi. "
RTV,GPS,"Nie jest zły, ale aktualizacja map jest zbyt kosztowna."
Odzież,Botki,"Wyglądają dokładnie jak na zdjęciach, solidnie wykonane."
RTV,telewizor,Nie polecam.
RTV,słuchawki,"To słuchawki, które spełniają wszystkie moje potrzeby. Dźwięk jest czysty, a bas głęboki. Wygodne w noszeniu, a kabel jest solidny i odporny na uszkodzenia. Używam ich codziennie i jestem zachwycony! "
Odzież,Botki,"Buty wyglądają stylowo, ale komfort noszenia pozostawia wiele do życzenia. Podszewka jest cienka i wystaje w niektórych miejscach, co psuje estetykę. Ogólnie w porządku, ale nie warte swojej ceny. "
Odzież,Koszulka,Koszulka wykonana z dobrej jakości materiału za przyzwoicie niewielką cenę.
Zegarki i biżuteria,Bransoletka,"Niestety, tym razem nie jestem zadowolona z zamówionej bransoletki z kamieni słonecznych 10 mm, dosyć drogą i na której najbardziej mi zależało, która w opisie miała wymiar 16,5 cm tj. 19-20 kulek. Otrzymana teraz bransoletka ma tylko 18 kulek i na pewno nie odpowiada podanemu wymiarowi. Gdyby taki wymiar był podany i figurował na zdjęciu, to na pewno bym jej nie kupiła. "
telefony,Sony Ericsson K750i ,"Telefon jest tani, a jednocześnie bardzo funkcjonalny i wygodny w obsłudze."
Sport,Rowerek do ćwiczeń,"Sprzęt wymaga przyzwyczajenia, ale spełnia swoje funkcje przy lekkim użytkowaniu. "
Sport,Białko WPC 81,"Białko jest zupełnie niesmaczne, smak chemiczny i nieprzyjemny."
telefony,Samsung B2710 SOLID ,"To najgorszy telefon, jaki miałem. Synchronizacja z innymi urządzeniami to kompletny dramat – wszystko działa wolno, a aplikacje ciągle się zawieszają. Oprogramowanie jest przestarzałe i nie ma wsparcia ze strony producenta. Zdecydowanie odradzam."
Odzież,Botki,"Materiał jest dobrej jakości, a podeszwa nie ślizga się na zimowych drogach."
Odzież,Koszulka,"Na pierwszy rzut oka wygląda dobrze, ale nie nadaje się na dłuższe noszenie."
Zegarki i biżuteria,Naszyjnik,"To przyzwoity produkt, choć zapięcie wymaga przyzwyczajenia."
Sport,Rowerek do ćwiczeń,"To bardzo dobry wybór, szczególnie dla osób szukających kompaktowego sprzętu."
Odzież,Botki,"Podszewka wystaje i wygląda fatalnie, to dyskwalifikuje te botki."
Odzież,Botki,"Estetyka na plus, ale komfort noszenia pozostawia wiele do życzenia."
Zegarki i biżuteria,Naszyjnik,"Ten naszyjnik to totalna porażka. Zaczepy są bardzo delikatne i pękły już po pierwszym noszeniu. Zapięcie jest trudne w obsłudze, a materiał wygląda na tani. Wyglądał pięknie na zdjęciach, ale w rzeczywistości kompletnie nie spełnił moich oczekiwań."
Sport,Białko WPC 115,"Produkt spełnia podstawowe oczekiwania – smak jest znośny, a rozpuszczalność w porządku, choć wymaga trochę wysiłku. Nie jest to najlepsze białko, jakie próbowałem, ale na pewno nie jest też najgorsze."
Sport,Rakieta do Squasha,"Lekka, solidna, świetnie sprawdza się w grze."
Zegarki i biżuteria,Naszyjnik,"Naszyjnik wyglądał dobrze na zdjęciach, ale w rzeczywistości jest tandetny."
AGD,lodówka,"Nie ma rewelacji, ale w tej cenie nie można wymagać zbyt wiele. "
RTV,telewizor,W tej cenie można znaleźć dużo lepsze urządzenia.
Sport,Rakieta do Squasha,Dobra rakieta! 
Sport,Rowerek do ćwiczeń,Rozczarowująca jakość.
RTV,GPS,Jestem pozytywnie zaskoczony. Rewelacyjnie wykonana nawigacja. 
Sport,Rowerek do ćwiczeń,"Konstrukcja jest solidna, a rowerek działa bardzo cicho i płynnie."
AGD,odkurzacz,"Odkurzacz ma bardzo słabą moc, ledwo wciąga kurz. "
AGD,lodówka,"Chłodzi, ale bardzo nierównomiernie. Produkty w środku pleśnieją."
RTV,słuchawki,"Jestem umiarkowanie zadowolony, dźwięk jest w porządku."
Zegarki i biżuteria,Naszyjnik,"Najwyższa jakość, doskonały wybór dla każdej kobiety! "
telefony,Sony Ericsson K750i ,"Telefon jest świetny, działa szybko i ma mnóstwo przydatnych funkcji."
Odzież,Botki,"Podeszwy są bardzo śliskie, co sprawia, że nie nadają się na zimę."
Zegarki i biżuteria,Bransoletka,"Produkt spełnia swoje podstawowe funkcje, ale wymaga ostrożności podczas użytkowania."
AGD,żelazko,"Funkcja pary działa poprawnie, ale mogłaby być wydajniejsza. "
Sport,Białko WPC 113,"Smak jest neutralny, ale pozostawia lekki posmak chemii, co trochę przeszkadza. "
AGD,odkurzacz,"Wygodny w użytkowaniu, idealny do dużych mieszkań. "
Sport,Rowerek do ćwiczeń,"Produkt nie jest idealny, ale spełnia swoje podstawowe zadanie."
Zegarki i biżuteria,Zegarek,"Jestem zachwycony, zegarek spełnia wszystkie moje oczekiwania."
Sport,Rakieta do Squasha,"Rakieta wygląda solidnie, ale jakość wykonania jest bardzo słaba."
RTV,słuchawki,Bardzo dobre słuchawki! 
telefony,Sony Ericsson K750i ,"Ten model to totalny niewypał. Wyświetlacz ma kiepską rozdzielczość, dżojstik jest niewygodny, a słuchawki to najgorsza tandeta, jaką widziałem. Telefon nadaje się tylko do wyrzucenia."
Zegarki i biżuteria,Bransoletka,"Zapięcie jest mało intuicyjne, a kamienie szybko tracą blask."
Sport,Rakieta do Squasha,Product wadliwy 
Odzież,Torebka,"Nie jest idealna, ale spełnia swoje zadanie."
Zegarki i biżuteria,Zegarek,"Zegarek przestał działać już po kilku dniach, totalne rozczarowanie."
Zegarki i biżuteria,Zegarek,"Produkt spełnia moje oczekiwania, jest prosty i funkcjonalny."
Sport,Rowerek do ćwiczeń,"To dobry wybór dla osób o mniejszych wymaganiach. Rowerek spełnia swoje podstawowe funkcje, ale nie nadaje się do intensywnych treningów. Siodełko jest trochę twarde, a komputerek działa tylko poprawnie."
AGD,żelazko,"Użytkuję żelazko ok.5 lat. Niestety, ale z perspektywy czasu nie poleciłabym go. Pod koniec gwarancji żelazko było w serwisie, ponieważ nie wytwarzało pary oraz przycisk wyrzutu pary nie odbijał do pozycji wyjściowej. Niestety problem notorycznie się powtarza, ponieważ przycisk znowu nie odbija. Jest to chyba część, której termin przydatności to ok.2 lat... Para z żelazka, pomimo czyszczenia, idzie słabo i ubrań nie da się idealnie wyprasować."
telefony,Sony Ericsson K750i ,"Telefon działa, ale szybko się rysuje i wygląda nieestetycznie."
RTV,GPS,"Jest przyzwoity, ale mógłby być bardziej trwały i szybki. "
RTV,GPS,"Fantastyczny sprzęt, działa bez zarzutu i szybko łapie sygnał."
RTV,słuchawki,"Produkt warty swojej ceny, dobrze sprawdza się na co dzień."
Zegarki i biżuteria,Zegarek,"Dobry, funkcjonalny zegarek za dobrą cenę."
Sport,Rakieta do Squasha,"Jestem mile zaskoczony, rakieta działa bardzo dobrze."
Odzież,Koszulka,"Jestem zachwycony, produkt spełnia wszystkie moje oczekiwania."
Odzież,Koszulka,"Świetny produkt w dobrej cenie, wygląda i nosi się bardzo dobrze."
Odzież,Koszulka,"Koszulka wyglądała dobrze tylko na początku. Po kilku dniach noszenia materiał zaczął się rozciągać, a po praniu straciła swój kształt. Dodatkowo szwy są słabe i zaczęły się pruć. Nie polecam. "
Zegarki i biżuteria,Naszyjnik,"Naszyjnik wygląda estetycznie, ale jakość materiału mogłaby być lepsza."
AGD,lodówka,"Wygląda solidnie, ale wewnętrzne półki są bardzo delikatne. "
AGD,lodówka,"Lodówka jest funkcjonalna, ale nieco zbyt głośna. Wnętrze jest dobrze zaprojektowane, choć zamrażalnik mógłby być większy. Ogólnie sprawdza się do codziennego użytku, ale dla dużej rodziny może być za mała."
telefony,Sony Ericsson K750i ,"Telefon jest solidny, funkcjonalny i bardzo łatwy w obsłudze."
AGD,odkurzacz,"To świetny odkurzacz do mieszkania. Radzi sobie z sierścią zwierząt, a jego kompaktowy rozmiar ułatwia przechowywanie. Kabel jest wystarczająco długi, a filtr łatwy do czyszczenia. "
Odzież,Koszulka,"Na zdjęciu koszulka wyglądała ciutkę lepiej, ale tak to jest w porządku."
Odzież,Torebka,"Torebka wygląda na zdjęciach pięknie, ale w rzeczywistości jakość pozostawia wiele do życzenia. Materiał jest słaby, a ramiączka łatwo się odpinają. Chciałam ją zachować, ale niestety musiałam odesłać z powodu wady fabrycznej."
Odzież,Botki,"Wyglądają pięknie i są niesamowicie wygodne, warto je kupić. "
Zegarki i biżuteria,Naszyjnik,Odcień różowego złota jest zupełnie inny niż na zdjęciach – wygląda mało estetycznie.
AGD,odkurzacz,"Plastikowy korpus wygląda solidnie, ale szybko pęka. "
Zegarki i biżuteria,Naszyjnik,"To produkt odpowiedni na specjalne okazje, ale nie na co dzień."
AGD,lodówka,"Przestronna, cicha i energooszczędna – idealna do większej kuchni."
RTV,GPS,"To urządzenie działa poprawnie, ale bez rewelacji. Wyświetlacz jest mały i mało czytelny w słońcu, a bateria mogłaby być bardziej wydajna. Ogólnie wystarczający na okazjonalne użytkowanie."
Odzież,Torebka,"Nie jestem zadowolona, torebka ma wadę fabryczną, przez którą muszę ją zwrócić."
RTV,słuchawki,"Słuchawki zepsuły się po miesiącu, a kabel jest niskiej jakości."
Zegarki i biżuteria,Bransoletka,"Jestem zachwycona, bransoletka jest solidna i pięknie się prezentuje."
RTV,telewizor,"Obraz jest w porządku, choć nie zachwyca. Dźwięk mógłby być lepszy, ale do codziennego użytkowania telewizor jest wystarczający. Smart TV ma swoje niedociągnięcia."
AGD,żelazko,"Najlepsze żelazko, jakie miałem, perfekcyjne w każdym calu. "
RTV,słuchawki,Są w porządku.
AGD,odkurzacz,"Cichy, lekki i bardzo skuteczny – polecam każdemu! "
RTV,słuchawki,"Dźwięk jest dobry, ale przewód mógłby być bardziej wytrzymały."
Zegarki i biżuteria,Zegarek,"Zegarek działa bardzo dobrze, a mechanizm jest precyzyjny."
RTV,słuchawki,"Doskonały sprzęt, spełnia wszystkie moje oczekiwania. "
AGD,lodówka,"Lodówka zawiodła mnie na całej linii. Już po kilku tygodniach zaczęły się problemy z zamrażarką, która ledwo działa. Dodatkowo urządzenie wydaje głośne dźwięki, co jest bardzo irytujące. Nie polecam nikomu, strata pieniędzy. "
Sport,Rowerek do ćwiczeń,"Komputerek przestał działać po pierwszym użyciu, zupełnie nie spełnia swojej funkcji."
Zegarki i biżuteria,Zegarek,"Świetny produkt, polecam każdemu, kto szuka niezawodnego zegarka. "
Zegarki i biżuteria,Naszyjnik,"Produkt spełnił moje oczekiwania, wygląda pięknie i nosi się bardzo dobrze."
telefony,Samsung B2710 SOLID ,"Telefon jest bardzo wytrzymały, idealny do pracy w trudnych warunkach."
AGD,odkurzacz,"To odkurzacz, który spełnia wszystkie moje oczekiwania. Jest wydajny, cichy i bardzo wygodny w obsłudze. Sprzątanie nim jest szybkie i efektywne, nawet w trudno dostępnych miejscach. "
RTV,GPS,"Niestety, GPS zupełnie nie spełnił moich oczekiwań. Klawiatura znika w losowych momentach, a samo urządzenie często się zawiesza. Nawet najprostsze trasy nie są wczytywane poprawnie."
Sport,Rakieta do Squasha,Nie polecam – totalny bubel! 
AGD,lodówka,"Chłodzi równomiernie, choć mam wątpliwości co do trwałości półek."
AGD,żelazko,Słabe! 
Odzież,Koszulka,"Bardzo słaba jakość. Koszulka jest źle uszyta, a szwy są nierówne. Po pierwszym praniu straciła swój fason, a materiał zaczął się mechacić. Nie nadaje się do dalszego użytkowania, zdecydowanie odradzam."
AGD,lodówka,"Jestem zachwycony tym produktem! Lodówka działa cicho, chłodzi równomiernie i ma bardzo funkcjonalne wnętrze. Zdecydowanie warto zainwestować w taki sprzęt, szczególnie jeśli zależy komuś na energooszczędności i dużej przestrzeni na przechowywanie. "
Zegarki i biżuteria,Naszyjnik,"Ten naszyjnik jest absolutnie rewelacyjny. Kamienie są piękne i błyszczą w każdym świetle, a jakość wykonania jest na najwyższym poziomie. Zapięcie działa perfekcyjnie, a całość prezentuje się bardzo elegancko. Idealny na każdą okazję!"
Zegarki i biżuteria,Bransoletka,Zaniżana rozmiarówka Xl to raczej większa Mka 
telefony,Sony Ericsson K750i ,"Telefon ma swoje zalety, takie jak trwała obudowa i w miarę wygodne menu, ale niestety nie spełnia wszystkich moich oczekiwań. Dżojstik jest niewygodny, a aparat robi zdjęcia o przeciętnej jakości."
Sport,Białko WPC 117,"Smak jest w porządku, ale produkt wymaga dokładnego mieszania, by uniknąć grudek. Konsystencja mogłaby być lepsza, ale jako suplement spełnia swoje podstawowe funkcje. Nie jest idealny, ale w tej cenie można go rozważyć."
AGD,lodówka,"Lodówka działa bez większych zarzutów, ale nie jest to sprzęt premium. Funkcja szybkiego chłodzenia działa dobrze, ale samo wnętrze jest niezbyt funkcjonalne. Niektóre półki wydają się dość delikatne, co budzi moje obawy co do ich trwałości. "
Odzież,Torebka,"To mój ulubiony model, wygląda świetnie i jest bardzo funkcjonalny. "
AGD,lodówka,"Produkt działa poprawnie, choć mam zastrzeżenia do jakości wykonania półek i uchwytów. Energooszczędność jest na dobrym poziomie, ale brak nowoczesnych funkcji trochę rozczarowuje."
Zegarki i biżuteria,Zegarek,"To przyzwoity zegarek, ale brak mu precyzji w funkcjach dodatkowych."
Odzież,Torebka,"Torebka spełniła moje oczekiwania. Jest pojemna, ale nie wygląda masywnie. Materiał jest solidny, a ramiączka wygodne. Idealna do pracy, ale również sprawdzi się na bardziej eleganckie okazje. "
telefony,Samsung B2710 SOLID ,"To dobry telefon dla osób, które potrzebują wytrzymałego sprzętu do pracy. Wytrzymuje upadki i trzyma długo na baterii, ale niestety oprogramowanie jest bardzo ograniczone i brakuje wsparcia technicznego."
AGD,żelazko,"Produkt premium w rozsądnej cenie, spełnia wszystkie moje oczekiwania. "
Sport,Rakieta do Squasha,"Produkt jest w miarę OK dla początkujących, ale nie dla zaawansowanych graczy."
RTV,telewizor,Może być.
RTV,telewizor,"Obraz jest bardzo słaby, a aplikacje Smart TV ciągle się zacinają."
Sport,Rakieta do Squasha,Świetny sprzęt! 
AGD,odkurzacz,"Świetny odkurzacz, szczególnie dla właścicieli zwierząt. "
Odzież,Botki,"Rozczarowująca jakość wykonania, szczególnie za tę cenę."
Sport,Białko WPC 124,"Rozpuszcza się bardzo dobrze, a smak jest świetny – polecam każdemu."
AGD,lodówka,Polecam w 100%! 
AGD,żelazko,"Nie jest złe, ale trochę za drogie jak na swoje możliwości. "
AGD,odkurzacz,"Produkt przeciętny, ale za tę cenę jest akceptowalny. "
Odzież,Koszulka,"Materiał jest przyjemny i trwały, koszulka sprawdza się na co dzień."
Zegarki i biżuteria,Naszyjnik,"Naszyjnik spełnia swoje podstawowe funkcje – jest elegancki i dobrze wygląda na szyi. Niestety, zapięcie wymaga ostrożności, a kamienie szybko tracą swój blask. Jest to produkt bardziej na specjalne okazje niż na co dzień."
Sport,Rakieta do Squasha,"To produkt dla początkujących – łatwy w użyciu, ale bez większych zalet. "
telefony,Samsung B2710 SOLID ,"Pamięć jest ograniczona, ale telefon działa stabilnie i długo na baterii."
telefony,Samsung B2710 SOLID ,"Bateria trzyma maksymalnie dwa dni, co jest bardzo uciążliwe."
AGD,żelazko,"Wygląda ładnie, ale funkcjonalność jest na niskim poziomie. "
Sport,Białko WPC 91,"Smak jest średni, ale rozpuszczalność fatalna, zostają grudki."
Odzież,Torebka,"Dobra na specjalne okazje, ale nie na co dzień."
Odzież,Botki,"Nadają się na sporadyczne okazje, ale nie na codzienne użytkowanie."
Sport,Rakieta do Squasha,"Rakieta jest w miarę OK, ale nie nadaje się do intensywnych gier."
RTV,GPS,"To solidne urządzenie, które spełnia swoje zadanie, ale brakuje mu nowoczesnych funkcji, jak sterowanie głosowe. Mimo wszystko działa poprawnie i nie zawiesza się zbyt często."
Sport,Rowerek do ćwiczeń,"Produkt jest w porządku dla osób o niższych wymaganiach, ale nie nadaje się do intensywnych treningów. Siodełko jest bardzo niewygodne, a montaż wymaga dużej cierpliwości. Komputer działa tylko sporadycznie, co jest dużym minusem."
RTV,GPS,"Bardzo solidne urządzenie, idealne na dłuższe trasy. "
telefony,Sony Ericsson K750i ,"Jestem bardzo zadowolony z tego telefonu. Jest wytrzymały, ma czytelny wyświetlacz i bardzo dobry aparat. To świetny sprzęt, który sprawdzi się zarówno na co dzień, jak i w trudniejszych warunkach. "
RTV,telewizor,"Smart TV działa idealnie, a jakość obrazu w 4K to mistrzostwo."
Sport,Rakieta do Squasha,Produkt wadliwy – owijka odpadła po pierwszym użyciu.
Zegarki i biżuteria,Zegarek,"Wygląda ładnie, ale to tyle. "
telefony,Sony Ericsson K750i ,"Telefon działa bez zarzutu. Jest bardzo wytrzymały, a bateria trzyma długo. Wyświetlacz jest czytelny, a aparat robi całkiem niezłe zdjęcia. Polecam każdemu, kto szuka prostego i solidnego telefonu."
telefony,Samsung B2710 SOLID ,"Witam, ja też się trochę przejechałem na tym modelu, ale raczej tylko na obiecanym czasie działania na baterii, mi trzymało 3 dni i oddałem do serwisu gdzie zmienili gniazdo ładowania i baterie ale było znowu to samo, poza tym telefon solidny."
AGD,lodówka,"Lodówka działa bardzo dobrze, cicho i wydajnie."
AGD,żelazko,Katastrofa! 
Odzież,Torebka,"Świetna jakość wykonania i piękny design, bardzo polecam!"
Zegarki i biżuteria,Bransoletka,"Produkt spełnił moje oczekiwania, design i jakość wykonania są na wysokim poziomie."
AGD,żelazko,"Bardzo dobry sprzęt, jakość adekwatna do ceny. "
RTV,słuchawki,Beznadziejne! 
Zegarki i biżuteria,Naszyjnik,"Naszyjnik wygląda ładnie, ale jest bardzo nietrwały i delikatny."
RTV,słuchawki,"Wysoka cena, a jakość dźwięku pozostawia wiele do życzenia. "
Odzież,Koszulka,"Koszulka wygląda dobrze i ma przyzwoity krój, ale materiał jest dość delikatny. Po kilku praniach straciła swój pierwotny wygląd, ale wciąż nadaje się do noszenia. Dobra na co dzień, ale nic więcej."
RTV,GPS,"GPS działa bardzo dobrze, szybko znajduje sygnał i prowadzi precyzyjnie."
Sport,Rowerek do ćwiczeń,"Dobry rower za małe pieniądze, nie zajmuje dużo miejsca łatwo go przenieść, ładnie wygląda, instrukcja montażu jest czytelna i nie sprawia problemu, trzeba przyzwyczaić się do siodełka."
Sport,Białko WPC 109,"Produkt jest w porządku, choć rozpuszczalność wymaga poprawy."
Zegarki i biżuteria,Zegarek,"Ma parę wad , termometr źle działa i kompas tak o, lecz jest ok."
Odzież,Torebka,"Wygląda dobrze na zdjęciach, ale w rzeczywistości jest wykonana bardzo słabo. "
Sport,Rakieta do Squasha,"Rakieta z naprawdę silnym uderzeniem, ale gorszą precyzją. Gdy robię zamach wydaje mi się, że wymaga to ode mnie więcej siły niż np. dunlopem blackstormem. Polecam ludziom co już trochę grają. Owijka do wymiany, bo ślizga się. Mnie nie siadła ale jeszcze pogram, bo może ja się zmienię"
Zegarki i biżuteria,Zegarek,"Produkt jest w miarę OK, choć spodziewałem się lepszej jakości wykonania. "
telefony,Samsung B2710 SOLID ,"Telefon ma wiele wad, synchronizacja z innymi urządzeniami to koszmar."
telefony,Samsung B2710 SOLID ,Jak każdy samsung niedopracowany. Synchronizacja z innymi urządzeniami do bani. Nigdy więcej samsunga. to kolejny samsung który sprawia problemy (wcześniej GALAXY 2 mini) tez do bani jeśli chodzi o współprace z innymi urządzaniami - komp tablet itd. A KIES to chyba totalna porażka 
Sport,Białko WPC 98,"Produkt jest średniej jakości. Smak kokosa był w porządku, ale białko bardzo trudno się rozpuszcza. Nawet po intensywnym mieszaniu zostają grudki. Nie polecam osobom, które szukają łatwego w przygotowaniu suplementu."
Sport,Rakieta do Squasha,"Rakieta jest bardzo źle wyważona, gra nią to czysta męka."
RTV,GPS,"Jestem bardzo zadowolony z tego sprzętu. GPS działa szybko, sygnał łapie niemal od razu, a mapa jest bardzo szczegółowa. Dodatkowo wyświetlacz jest dobrze widoczny w różnych warunkach oświetleniowych."
telefony,Sony Ericsson K750i ,"Telefon działa, ale menu jest nieczytelne i trudne w obsłudze."
AGD,żelazko,"Lekkość, szybkość nagrzewania i solidne wykonanie – świetny wybór. "
Zegarki i biżuteria,Naszyjnik,"Słaba jakość, szkoda pieniędzy. "
telefony,Samsung B2710 SOLID ,"Telefon sprawdza się świetnie w codziennym użytkowaniu, wytrzymały i funkcjonalny. "
Odzież,Koszulka,"Dobra na co dzień, ale nie nadaje się do intensywnego użytkowania."
AGD,odkurzacz,"Odkurzacz ma kilka zalet, takich jak kompaktowy rozmiar i prostota obsługi, ale jego moc ssania pozostawia wiele do życzenia. Lepiej sprawdzi się na gładkich powierzchniach. "
telefony,Sony Ericsson K750i ,"Telefon działa, ale tylko w podstawowym zakresie. Dżojstik jest mało precyzyjny, a wyświetlacz jest za mały i mało czytelny. Dodatkowo jakość dźwięku jest bardzo niska. "
AGD,odkurzacz,"Odkurzacz działa, ale bardzo często trzeba opróżniać pojemnik. "
Zegarki i biżuteria,Naszyjnik,Produkt nie spełnił moich oczekiwań – zapięcie jest trudne w obsłudze.
Zegarki i biżuteria,Bransoletka,"To dobry wybór na okazjonalne noszenie, ale nie na codzienne użytkowanie."
Sport,Rakieta do Squasha,"Produkt jest lekki i wygodny, idealny na co dzień."
Sport,Rowerek do ćwiczeń,"Niestety również z mojej strony negatywna ocena pasek oporowy... brak info odnośnie możliwości nabycia takiego paska, który bardzo szybko uległ przetarciu (gwarancja paska nie obejmuje). No i został rowerek jako wieszak. Nie polecam "
AGD,odkurzacz,Odkurzacz jak odkurzacz. Zawiodłem się poziomem hałasu. Stary Electrolux który ma o 3-4 dB więcej pracował dużo ciszej. 
telefony,Samsung B2710 SOLID ,"W zasadzie tylko do dzwonienia i SMS, solidnie wykonany, długi czas pracy baterii. Wyjątkowo archaiczny soft, brak wsparcia ze strony producenta. "
Odzież,Botki,"Materiał jest przeciętnej jakości, ale wygląd nadrabia pewne braki. "
Zegarki i biżuteria,Zegarek,"Ten zegarek to totalna porażka. Już po kilku dniach użytkowania przestał działać poprawnie – spóźnia się o kilka minut dziennie. Materiały użyte do jego wykonania są bardzo niskiej jakości, a bransoleta zaczęła się odbarwiać po tygodniu. Nie polecam nikomu!"
AGD,żelazko,"Spełnia podstawowe oczekiwania, choć spodziewałem się więcej. "
AGD,lodówka,"Dobra na co dzień, ale brakuje kilku przydatnych akcesoriów. "
telefony,Sony Ericsson K750i ,"Kupiłem ten telefon, licząc na solidność marki, ale bardzo się rozczarowałem. Dżojstik przestał działać już po kilku miesiącach, a aparat robi bardzo słabe zdjęcia. To nie jest sprzęt godny polecenia."
Odzież,Torebka,"To świetna torebka, która łączy styl i praktyczność. Jest bardzo pojemna, a jednocześnie wygląda elegancko. Materiał jest dobrej jakości, a detale są starannie wykończone. Idealna zarówno na co dzień, jak i na specjalne okazje."
Sport,Rowerek do ćwiczeń,"Produkt dobrze wykonany, działa bez zarzutu i jest łatwy w montażu."
telefony,Sony Ericsson K750i ,"Nie jest zły, ale oczekiwałem lepszego aparatu i bardziej wygodnego menu."
Odzież,Torebka,"Wygląda elegancko, ale ramiączka są bardzo nietrwałe i łatwo się odpinają."
Zegarki i biżuteria,Bransoletka,"To piękna bransoletka, która świetnie prezentuje się na ręce. Jest bardzo dobrze wykonana, a każdy szczegół został starannie dopracowany. To idealny wybór zarówno na co dzień, jak i na specjalne okazje. "
Zegarki i biżuteria,Naszyjnik,"Polecam, piękny naszyjnik! "
Zegarki i biżuteria,Zegarek,"Bransoleta jest niewygodna, a zegarek wygląda znacznie gorzej niż na zdjęciach."
Sport,Rowerek do ćwiczeń,"Marny gwint lewego pedału - przykręcenie wymagało dużego klucza ""francuza"" o ramieniu 25 cm. Czytnik uszkodzony - wyłącza się po minucie. Niskie mocowanie siodełka. Nie ma mowy o wyprostowaniu nogi w dolnym położeniu pedału, przy wzroście 170 cm. "
RTV,telewizor,"Jestem bardzo zadowolony, prosty w obsłudze i dobrze wykonany."
RTV,GPS,"Urządzenie działa tylko wtedy, gdy ma idealne warunki, co w praktyce rzadko się zdarza. "
AGD,lodówka,"Radzę dobrze zastanowić się nad wyborem marki Samsung i nie dać się skusić na ładny wygląd. Lodówka obarczona jest wadą fabryczną - po okresie gwarancyjnym psuje się wyświetlacz - firma Samsung umywa ręce. Na gwarancji miałem wymieniany wyświetlacz, drugi raz zepsuł się po okresie gwarancyjnym - wg. pracownika serwisu ten problem jest mu b. dobrze znany. Szajsung - ta nazwa nie pojawiła się przypadkowo."
Sport,Rowerek do ćwiczeń,"Pasek oporowy mógłby być trwalszy, ale jak na tę cenę, jest w porządku."
RTV,słuchawki,"Brzmienie jest perfekcyjne, a kabel wydaje się bardzo trwały."
Sport,Rowerek do ćwiczeń,"Sprzęt dobrze się sprawdza, a konstrukcja jest stabilna i solidna."
RTV,telewizor,"Zawiodłem się na całej linii. Smart TV nie działa, a matryca wygląda, jakby była zrobiona z najtańszego materiału. Nawet w trybie HDR kolory są wyblakłe. Po dwóch tygodniach użytkowania mam ochotę go wyrzucić. "
AGD,lodówka,"Świetna lodówka, szczególnie za tę cenę. Polecam!"
AGD,odkurzacz,"Odkurzacz działa poprawnie, ale niczym się nie wyróżnia. "
Odzież,Botki,"Buty wyglądają całkiem,całkiem,ale nie powalają,za taką cenę,400 zł. Kupiłam w Oleksym botki za 240 zł. i są zdecydowanie ładniejsze. W środku słaba wyściółka,teraz jak było -8 zmarzły mi nogi,a w Oleksym nie. Nie odesłałam tylko dlatego,że pospiesznie zniszczyłam pudełko. Ogólnie za taką cenę,to nie polecam."
AGD,żelazko,Prasowanie tym sprzętem to udręka. Totalna strata pieniędzy. 
RTV,GPS,"To GPS do podstawowych zastosowań, dla wymagających może być za słaby."
Zegarki i biżuteria,Bransoletka,"Produkt wygląda dobrze, ale nie nadaje się do codziennego noszenia – jest zbyt delikatny. "
Zegarki i biżuteria,Bransoletka,"Zapięcie mogłoby być lepiej dopracowane, ale ogólnie produkt spełnia podstawowe oczekiwania."
Zegarki i biżuteria,Naszyjnik,"Design naszyjnika jest bardzo ładny, ale materiał jest nietrwały. Po kilku dniach użytkowania zauważyłam, że zapięcie jest trudne w obsłudze, a elementy naszyjnika łatwo się odkształcają. Nie polecam dla osób szukających czegoś trwałego."
RTV,GPS,"Wyświetlacz jest bardzo przeciętny, trudno coś zobaczyć w słoneczny dzień."
telefony,Sony Ericsson K750i ,"To telefon, który działa, ale bez większych rewelacji. Dżojstik jest trochę problematyczny, a wyświetlacz jest dość mały. Zdjęcia są przeciętne, a słuchawki dodane w zestawie są bardzo słabej jakości."
