id,kategoria,produkt,opinia,liczba gwiazdek,klasyfikacja opinii
187,AGD,lodówka,"Świetny sprzęt! Posiada dużą pojemność, idealną dla większej rodziny. Bardzo dobrze chłodzi i mrozi, a funkcja szybkiego chłodzenia naprawdę działa. Jedynym minusem może być brak dodatkowych półek na butelki.",4,pozytywna
188,AGD,lodówka,"Jestem bardzo zadowolony z tej lodówki. Wygląda nowocześnie, a jej wnętrze jest świetnie zaprojektowane. Działa bez zarzutu, a zamrażalnik jest pojemny i łatwy w utrzymaniu czystości. To naprawdę solidny zakup.",4,pozytywna
189,AGD,lodówka,Polecam w 100%! ,5,pozytywna
190,AGD,lodówka,"Najlepsza lodówka, jaką miałem, działa perfekcyjnie. ",5,pozytywna
191,AGD,lodówka,"Rewelacyjny sprzęt, cicha i bardzo pojemna.",5,pozytywna
192,AGD,lodówka,"Chłodzi i mrozi idealnie, nic dodać, nic ująć! ",5,pozytywna
193,AGD,lodówka,"Cicha, energooszczędna i bardzo solidnie wykonana. ",5,pozytywna
194,AGD,lodówka,Lodówka wygląda świetnie i działa bez zarzutu. ,5,pozytywna
195,AGD,lodówka,"Bardzo pojemna, szybka w chłodzeniu, idealna do dużych kuchni. ",5,pozytywna
196,AGD,lodówka,"To najlepsza lodówka, jaką kiedykolwiek miałem. Chłodzi perfekcyjnie, a zamrażalnik jest bardzo pojemny i dobrze zaprojektowany. Dodatkowo jej nowoczesny design doskonale wpasowuje się w moją kuchnię. Jest warta każdej złotówki. ",5,pozytywna
197,AGD,lodówka,"Jestem zachwycony tym produktem! Lodówka działa cicho, chłodzi równomiernie i ma bardzo funkcjonalne wnętrze. Zdecydowanie warto zainwestować w taki sprzęt, szczególnie jeśli zależy komuś na energooszczędności i dużej przestrzeni na przechowywanie. ",5,pozytywna
198,AGD,lodówka,"Absolutnie polecam tę lodówkę każdemu. Ma wszystko, czego potrzeba – dużą pojemność, solidne półki i świetną funkcję szybkiego chłodzenia. Po kilku miesiącach użytkowania mogę śmiało powiedzieć, że był to jeden z najlepszych zakupów do mojego domu. ",5,pozytywna
199,RTV,telewizor,"Niestety nieudany zakup, telewizor z założenie miał być rozbudowany stąd jego cena , okazuje się że funkcje online są nieprzewidywalne czasem działają z reguły nie. Także cel mojego zakupu nie jest zrealizowany pomimo nabycia kosmicznie drogiej karty wi-fi i wielogodzinnej konfiguracji. Obraz jak obraz w końcu to telewizor jest i tyle żadna rewelacja , w sumie szkoda że jest bo chętnie oddałbym ten chłam do sklepu . ",1,negatywna
200,RTV,telewizor,Obraz nic nadzwyczajnego. Telewizor bardzo źle radzi sobie z sygnałem analogowym. Obraz niedostatecznie szybko się odświeża Po podłączeniu sygnału cyfrowego da się oglądać. Ciekawe funkcje dodatkowe.,2,negatywna
201,RTV,telewizor,Po dwóch tygodniach użytkowania jest ok. ,3,neutralna
202,RTV,telewizor,"Niech nikt nie sądzi, że za 1400 zł można kupić jakieś cudo. Poczytałem opinie i kupiłem. Okazało się, że nie jest tak pięknie. Kanały hd są odtwarzane rozsądnie, a pozostałe - jak dla mnie b. słabo. Bajery typu przeglądarka www nie rekompensują słabej jakości obrazu! Matryca błyszcząca... Jeżeli komuś zależy na obrazie, to lepiej kupić es5500 - podświetlanie krawędziowe. Po zobaczeniu plastiku, e który ubrany został tv, cena też przestaje dziwić. ",3,neutralna
203,RTV,telewizor,"Przyzwoita jakość w dobrej cenie, spełnia moje oczekiwania",4,pozytywna
204,RTV,telewizor,Tv działa już ok dwóch lat bezawaryjnie. Modułowa budowa umożliwiająca w razie konieczności łatwą naprawę sprzętu. Szybkość oprogramowania mogłaby być lepsza. Dobrej jakości pilot choć nieco za duży. Jakość użytego plastiku bardzo dobra. Ostrość zadowalająca.,5,pozytywna
205,RTV,słuchawki,"Myślałem, że jeśli zapłacę 180zł za parę pchełek z mega grubym kablem, to nie zniszczą się po pół roku. Myliłem się. Słuchawki przestały działać po trzech miesiącach od zakupu (oczywiście przy normalnym użytkowaniu - słuchanie w mieście). Standard - przetarty kabel, jedna słuchawka nie działa. Wymieniłem je na gwarancji na nowe i również po około trzech miesiącach słuchawki są do wyrzucenia (to znaczy obie są naprawdę świetne, ale kabel już nie łączy). Dźwięk jest naprawdę rewelacyjny, ale niestety nóż się w kieszeni otwiera, kiedy coś takiego nas spotyka. Odradzam. ",1,negatywna
206,RTV,słuchawki,"Dźwięk jak dla mnie bardzo ""płaski"" i strasznie syczący (talerze pchają się na pierwszy plan). W porównaniu do niektórych tańszych słuchawek wygląda to kiepsko (E10 - mój faworyt). Kabel - mi nie przeszkadza - mam nadzieje że wytrzyma dłużej niż u innych. ",2,negatywna
207,RTV,słuchawki,"Fajne słuchawki, choć nie radzą sobie z wysokimi tonami, gruby przewód sterczy z ucha i nie da się go owinąć nad uchem. Do tego brakuję clipersa przy kablu. Nie nadają się do metalcoru i innych podobnych klimatów. Wracam do soundmagiców ;) ",3,neutralna
208,RTV,słuchawki,"Przerysowany bas i fatalna wtyczka (przynajmniej w wersji 25th anniversary). Przez pięć lat używałem Sennheiserów PX200 (ale się w końcu rozpadły - nie rozpieszczałem ich) - miały bardziej naturalne odwzorowane pasmo w całym zakresie (bez mocno natarczywego podbitego basu), co bardziej mi odpowiadało. Wymiana wtyczki to katorga - bardzo cieniutkie przewody umazane barwnikami (izolacją) nie są najwdzięczniejszym materiałem do wymiany... ",3,neutralna
209,RTV,słuchawki,Słuchawki mają bardzo dobry dźwięk i są bardzo lekkie. Polecam do używania w podróży. ,4,pozytywna
210,RTV,słuchawki,"Bardzo fajne słuchawki ze świetnym stosunkiem jakości do ceny. Retro wygląd przykuwa uwagę. Są bardzo wygodne. Trochę się czepiam, ale lubię gdy przewód słuchawkowy jest wymienny.",5,pozytywna
211,RTV,GPS,CAŁKOWITE DNO. Kupiłem to cudo i nie można wczytać żadnej trasy. Nie pokazuje się klawiatura ,1,negatywna
212,RTV,GPS,"Wyświetlacz - nieporozumienie, widoczny w nocy i pochmurny dzień. pamięć wewnętrzna i dostęp do aplikacji pod Windows ",2,negatywna
213,RTV,GPS,Jak na swoją cenę to produkt dobrze działa za wyjątkiem wbudowanej baterii - przy braku zasilania wytrzymuje około 10 minut. O tym parametrze żaden sprzedawca nie informuje. ,3,neutralna
214,RTV,GPS,Ogólnie średnio szalu nie ma mapa wgrana do kitu musiałem nowa wgrać przewód zasilający po miesiącu do wymiany przy zmianie kolejnego wpisu się zacina trzeba wyłączyć i ponownie włączyć sygnał ciężko szuka ,3,neutralna
215,RTV,GPS,"Ten GPS, spełnia oczekiwania każdego kto poszukuje tego typu rozwiązań. Działa bardzo szybko, dając nam wiele możliwości. Jest fantastycznie wykonany. Uwielbiam pracować z tym urządzeniem. ",4,pozytywna
216,RTV,GPS,Jestem pozytywnie zaskoczony. Rewelacyjnie wykonana nawigacja. ,5,pozytywna
217,RTV,telewizor,Totalny bubel! ,1,negatywna
218,RTV,telewizor,"Obraz jest bardzo słaby, a aplikacje Smart TV ciągle się zacinają.",1,negatywna
219,RTV,telewizor,"Telewizor zawiesza się co chwilę, a jakość wykonania jest fatalna.",1,negatywna
220,RTV,telewizor,"Bardzo żałuję zakupu, obraz jest niewyraźny, a kolory wyblakłe.",1,negatywna
221,RTV,telewizor,"Nie spełnia żadnych oczekiwań, nawet podstawowe funkcje nie działają poprawnie.",1,negatywna
222,RTV,telewizor,"Obraz migocze, a dźwięk jest strasznie płaski. To strata pieniędzy.",1,negatywna
223,RTV,telewizor,"Wygląda ładnie, ale funkcje to totalna katastrofa.",1,negatywna
224,RTV,telewizor,"Zakup tego telewizora to była ogromna pomyłka. Obraz jest rozmyty, a kolory dalekie od naturalnych. Funkcje Smart TV nie działają poprawnie, aplikacje się zawieszają, a nawet zwykłe przełączanie kanałów trwa wieki. Nie polecam nikomu!",1,negatywna
225,RTV,telewizor,"Obudowa wygląda solidnie, ale telewizor jest kompletnie nieużyteczny. Jakość obrazu jest koszmarna, a dźwięk brzmi jak z taniego radia. Dodatkowo zdalne sterowanie często przerywa sygnał. To totalna porażka.",1,negatywna
226,RTV,telewizor,"Zawiodłem się na całej linii. Smart TV nie działa, a matryca wygląda, jakby była zrobiona z najtańszego materiału. Nawet w trybie HDR kolory są wyblakłe. Po dwóch tygodniach użytkowania mam ochotę go wyrzucić. ",1,negatywna
227,RTV,telewizor,Nie polecam.,2,negatywna
228,RTV,telewizor,"Telewizor działa, ale bardzo wolno. Jakość obrazu przeciętna.",2,negatywna
229,RTV,telewizor,"Sygnał cyfrowy działa poprawnie, ale funkcje Smart TV są nieużyteczne.",2,negatywna
230,RTV,telewizor,"Plastik wygląda tandetnie, a dźwięk jest bardzo niskiej jakości.",2,negatywna
231,RTV,telewizor,Nie radzi sobie z odtwarzaniem treści 4K. Obraz często się zacina.,2,negatywna
232,RTV,telewizor,W tej cenie można znaleźć dużo lepsze urządzenia.,2,negatywna
233,RTV,telewizor,"Działa poprawnie tylko na kanałach HD, reszta wygląda tragicznie.",2,negatywna
234,RTV,telewizor,"To nie jest telewizor, jakiego oczekiwałem. Obraz jest akceptowalny tylko na kanałach HD, ale jakość dźwięku pozostawia wiele do życzenia. Funkcje Smart TV działają bardzo wolno, a pilot jest mało intuicyjny.",2,negatywna
235,RTV,telewizor,"Telewizor sprawia wrażenie dobrze wykonanego, ale to tylko pozory. Obraz często się zacina, a aplikacje Smart TV uruchamiają się bardzo wolno. Do tego czasami całkowicie się zawiesza.",2,negatywna
236,RTV,telewizor,"Urządzenie ma bardzo ograniczone funkcje, a jakość obrazu jest przeciętna. Nie radzi sobie z dynamicznymi scenami, co jest bardzo irytujące podczas oglądania filmów akcji. Nie wart swojej ceny.",2,negatywna
237,RTV,telewizor,Jest OK.,3,neutralna
238,RTV,telewizor,Może być.,3,neutralna
239,RTV,telewizor,"Telewizor działa poprawnie, ale niczym się nie wyróżnia.",3,neutralna
240,RTV,telewizor,"Obraz jest w porządku, ale Smart TV działa bardzo wolno.",3,neutralna
241,RTV,telewizor,"Do podstawowego użytku wystarcza, ale brak nowoczesnych funkcji.",3,neutralna
242,RTV,telewizor,"Nie zachwyca, ale też nie rozczarowuje.",3,neutralna
243,RTV,telewizor,"Dźwięk jest średni, ale jakość obrazu na kanałach HD jest przyzwoita.",3,neutralna
244,RTV,telewizor,"Sprzęt ma swoje wady, ale jak za tę cenę, to jest w porządku.",3,neutralna
245,RTV,telewizor,"Funkcje działają poprawnie, choć czasami zdarzają się opóźnienia.",3,neutralna
246,RTV,telewizor,"Obraz jest dobry, ale dźwięk wymaga poprawy.",3,neutralna
247,RTV,telewizor,"Nie jest zły, ale mógłby być bardziej intuicyjny w obsłudze.",3,neutralna
248,RTV,telewizor,"Smart TV działa, ale interfejs jest mało przyjazny.",3,neutralna
249,RTV,telewizor,"Telewizor wystarczający do codziennego użytku, choć ma kilka niedociągnięć.",3,neutralna
250,RTV,telewizor,"Jakość plastiku jest niska, ale obraz jest przyzwoity.",3,neutralna
251,RTV,telewizor,"Telewizor dobrze sprawdza się przy oglądaniu filmów, ale ma kilka wad. Smart TV działa wolno, a dźwięk jest przeciętny. Za tę cenę jest to jednak akceptowalne rozwiązanie.",3,neutralna
252,RTV,telewizor,"Urządzenie jest w porządku, ale brak niektórych nowoczesnych funkcji może przeszkadzać. Obraz jest dobry, ale matryca odbija światło, co utrudnia oglądanie w jasnych pomieszczeniach.",3,neutralna
253,RTV,telewizor,"Nie jest to najlepszy telewizor, ale za tę cenę spełnia swoje zadanie. Obraz jest ostry, choć kolory mogłyby być bardziej nasycone. Smart TV działa poprawnie, ale nie idealnie.",3,neutralna
254,RTV,telewizor,"Telewizor działa dobrze w trybie podstawowym, ale bardziej wymagający użytkownicy mogą być rozczarowani. Jakość obrazu jest niezła, ale aplikacje działają bardzo wolno.",3,neutralna
255,RTV,telewizor,"Obraz jest w porządku, choć nie zachwyca. Dźwięk mógłby być lepszy, ale do codziennego użytkowania telewizor jest wystarczający. Smart TV ma swoje niedociągnięcia.",3,neutralna
256,RTV,telewizor,"To przeciętny telewizor, który działa poprawnie, ale nie oferuje nic ponad podstawowe funkcje. Jeśli szukasz czegoś do prostego oglądania telewizji, to może być dobry wybór.",3,neutralna
258,RTV,telewizor,"Telewizor działa świetnie, obraz jest bardzo wyraźny, a dźwięk czysty.",4,pozytywna
259,RTV,telewizor,Doskonały stosunek jakości do ceny. Smart TV działa bez zarzutu.,4,pozytywna
260,RTV,telewizor,"Bardzo dobry produkt, obraz ostry, a kolory nasycone.",4,pozytywna
261,RTV,telewizor,Sprawdza się idealnie do oglądania filmów w jakości 4K.,4,pozytywna
262,RTV,telewizor,"Jestem bardzo zadowolony, prosty w obsłudze i dobrze wykonany.",4,pozytywna
263,RTV,telewizor,To świetny telewizor dla rodzin – prosta obsługa i dobra jakość obrazu.,4,pozytywna
264,RTV,telewizor,"Telewizor spełnia wszystkie moje oczekiwania. Obraz jest bardzo wyraźny, a kolory wyglądają naturalnie. Funkcje Smart TV działają płynnie, co jest dla mnie bardzo ważne. Świetny stosunek jakości do ceny!",4,pozytywna
265,RTV,telewizor,"Jestem bardzo zadowolony z zakupu. Telewizor ma nowoczesny design i bardzo dobrą jakość wykonania. Smart TV działa bez zarzutu, a aplikacje uruchamiają się błyskawicznie. Obraz jest ostry, a dźwięk czysty.",4,pozytywna
266,RTV,telewizor,"Bardzo dobry sprzęt za rozsądną cenę. Obraz w jakości 4K jest rewelacyjny, a dźwięk spełnia moje oczekiwania. Funkcje online działają płynnie, a telewizor jest łatwy w obsłudze.",4,pozytywna
267,RTV,telewizor,Polecam każdemu! ,5,pozytywna
268,RTV,telewizor,"Najlepszy telewizor, jaki miałem. Obraz i dźwięk są fenomenalne.",5,pozytywna
269,RTV,telewizor,"Smart TV działa idealnie, a jakość obrazu w 4K to mistrzostwo.",5,pozytywna
270,RTV,telewizor,"Bardzo solidny sprzęt, działa szybko i bez żadnych problemów.",5,pozytywna
271,RTV,telewizor,Telewizor spełnia wszystkie moje oczekiwania. Fantastyczna jakość obrazu!,5,pozytywna
272,RTV,telewizor,"Świetny sprzęt, kolory są żywe, a dźwięk krystalicznie czysty.",5,pozytywna
273,RTV,telewizor,Obraz wygląda świetnie nawet w jasnym pomieszczeniu. Idealny zakup.,5,pozytywna
274,RTV,telewizor,"To telewizor, który zdecydowanie mogę polecić każdemu. Obraz w jakości 4K jest rewelacyjny, a funkcje Smart TV działają bardzo płynnie. Dodatkowo design jest nowoczesny, a pilot intuicyjny. Jestem zachwycony!",5,pozytywna
275,RTV,telewizor,"Jakość obrazu w tym telewizorze jest niesamowita. Kolory są głębokie, kontrast idealny, a dźwięk na wysokim poziomie. Smart TV działa błyskawicznie, bez żadnych opóźnień. To mój najlepszy zakup w tym roku!",5,pozytywna
276,RTV,telewizor,"Jestem zachwycony. Telewizor oferuje nie tylko doskonałą jakość obrazu, ale także bardzo czysty dźwięk. Funkcje Smart TV są intuicyjne, a dodatkowe opcje, takie jak sterowanie głosowe, to świetny bonus. Polecam każdemu!",5,pozytywna
277,RTV,słuchawki,Beznadziejne! ,1,negatywna
278,RTV,słuchawki,"Dźwięk jest kiepski, a przewód bardzo szybko się przetarł.",1,negatywna
279,RTV,słuchawki,"Słuchawki zepsuły się po miesiącu, a kabel jest niskiej jakości.",1,negatywna
280,RTV,słuchawki,"Nie polecam, dźwięk płaski, a wysoka cena zupełnie nieadekwatna do jakości.",1,negatywna
281,RTV,słuchawki,Przewód przestał łączyć po kilku tygodniach. Ogromne rozczarowanie.,1,negatywna
282,RTV,słuchawki,"Nie nadają się do długiego użytkowania, kabel zawsze się plącze.",1,negatywna
283,RTV,słuchawki,"Wysoka cena, a jakość dźwięku pozostawia wiele do życzenia. ",1,negatywna
284,RTV,słuchawki,"Kupiłem te słuchawki z nadzieją na wysoką jakość dźwięku, ale to był błąd. Dźwięk jest płaski, a przewód już po dwóch tygodniach zaczął się przecierać. Produkt zdecydowanie nie jest wart swojej ceny.",1,negatywna
285,RTV,słuchawki,"Słuchawki może i dobrze wyglądają, ale ich trwałość to koszmar. Po miesiącu użytkowania jedna słuchawka przestała działać. Kabel jest tragiczny – bardzo łatwo się przeciera i plącze.",1,negatywna
286,RTV,słuchawki,"Słuchawki mają słabą jakość wykonania, a przewód to totalna porażka. Dźwięk był w porządku przez pierwszy miesiąc, ale potem zaczęły się problemy z jedną ze słuchawek. Nie polecam nikomu!",1,negatywna
288,RTV,słuchawki,"Dźwięk jest niezły, ale przewód już zaczyna się przecierać.",2,negatywna
289,RTV,słuchawki,"Nie radzą sobie z wysokimi tonami, brak równowagi w brzmieniu.",2,negatywna
290,RTV,słuchawki,Za taką cenę spodziewałem się lepszej jakości wykonania.,2,negatywna
291,RTV,słuchawki,"Słuchawki są dość wygodne, ale dźwięk pozostawia wiele do życzenia.",2,negatywna
292,RTV,słuchawki,Kabel szybko się plącze i trudno go rozplątać.,2,negatywna
293,RTV,słuchawki,"Nie spełniają oczekiwań, chociaż wyglądają dobrze. ",2,negatywna
294,RTV,słuchawki,"Kupiłem te słuchawki, licząc na jakość adekwatną do ceny, ale bardzo się zawiodłem. Dźwięk jest płaski, wysokie tony są zbyt wyeksponowane, a przewód jest bardzo niskiej jakości – plącze się i przeciera po kilku tygodniach.",2,negatywna
295,RTV,słuchawki,"Słuchawki wyglądają świetnie, ale ich funkcjonalność pozostawia wiele do życzenia. Dźwięk jest przeciętny, a kabel wymaga częstej wymiany. Na dodatek są mało trwałe – jedna ze słuchawek przestała działać już po miesiącu.",2,negatywna
296,RTV,słuchawki,"Sprzęt wygląda dobrze, ale nie radzi sobie z codziennym użytkowaniem. Przewód jest delikatny, a dźwięk zbyt płaski. Jeśli planujesz słuchać muzyki w ruchu, te słuchawki nie są najlepszym wyborem. ",2,negatywna
297,RTV,słuchawki,Są w porządku.,3,neutralna
298,RTV,słuchawki,Nic specjalnego. ,3,neutralna
299,RTV,słuchawki,"Dźwięk jest przyzwoity, ale brakuje głębi.",3,neutralna
300,RTV,słuchawki,"Słuchawki są wygodne, ale kabel mógłby być lepszy.",3,neutralna
301,RTV,słuchawki,"Za tę cenę można znaleźć coś lepszego, ale nie jest źle.",3,neutralna
302,RTV,słuchawki,"Sprawdzają się na co dzień, choć brakuje wymiennego kabla.",3,neutralna
303,RTV,słuchawki,"Brzmienie jest czyste, ale bas jest zbyt mocno podbity.",3,neutralna
304,RTV,słuchawki,"Nieźle wyglądają, ale jakość dźwięku pozostawia niedosyt.",3,neutralna
305,RTV,słuchawki,"Do codziennego użytku są wystarczające, ale dla audiofila to za mało.",3,neutralna
306,RTV,słuchawki,"Dźwięk jest dobry, ale przewód mógłby być bardziej wytrzymały.",3,neutralna
307,RTV,słuchawki,"Sprawdzają się, ale nie wyróżniają się niczym szczególnym.",3,neutralna
308,RTV,słuchawki,"Jestem umiarkowanie zadowolony, dźwięk jest w porządku.",3,neutralna
309,RTV,słuchawki,"Pasują do podstawowych zastosowań, ale brakuje głębi w basie.",3,neutralna
310,RTV,słuchawki,"Nie zachwycają, ale są wygodne i łatwe w obsłudze. ",3,neutralna
311,RTV,słuchawki,"Słuchawki spełniają swoje podstawowe zadanie, ale nie oferują nic wyjątkowego. Dźwięk jest czysty, choć czasem brakuje balansu między tonami. Kabel mógłby być bardziej wytrzymały, ale jak za tę cenę, są w porządku.",3,neutralna
312,RTV,słuchawki,"Sprzęt działa poprawnie, ale trudno go uznać za wyjątkowy. Dźwięk jest dobry, choć mógłby być bardziej dynamiczny. Słuchawki są wygodne, ale przewód wymaga częstego rozplątywania.",3,neutralna
313,RTV,słuchawki,"Nie są złe, ale za tę cenę spodziewałem się więcej. Brzmienie jest w miarę, choć zbyt mocno eksponuje wysokie tony. Słuchawki wyglądają dobrze, ale brak wymiennego kabla to minus.",3,neutralna
314,RTV,słuchawki,"Słuchawki sprawdzają się w codziennym użytku, ale dla bardziej wymagających użytkowników będą za słabe. Dźwięk jest przyzwoity, choć kabel szybko się plącze.",3,neutralna
315,RTV,słuchawki,"Produkt w porządku, ale nie wyróżnia się na tle konkurencji. Słuchawki są wygodne, ale brzmienie mogłoby być bardziej wyraziste. Sprawdzają się, ale brak wymiennych elementów to wada.",3,neutralna
316,RTV,słuchawki,"Do codziennego słuchania muzyki są wystarczające, ale brakuje im trwałości. Kabel jest dość delikatny, a dźwięk, choć czysty, nie zachwyca. ",3,neutralna
317,RTV,słuchawki,Bardzo dobre słuchawki! ,4,pozytywna
318,RTV,słuchawki,"Dźwięk jest czysty, a słuchawki bardzo wygodne.",4,pozytywna
319,RTV,słuchawki,"Bardzo dobry produkt, spełnia moje oczekiwania w 100%.",4,pozytywna
320,RTV,słuchawki,Słuchawki świetnie wyglądają i brzmią rewelacyjnie.,4,pozytywna
321,RTV,słuchawki,"Dźwięk wysokiej jakości, a kabel wydaje się solidny.",4,pozytywna
322,RTV,słuchawki,"Produkt warty swojej ceny, dobrze sprawdza się na co dzień.",4,pozytywna
323,RTV,słuchawki,"Wygodne w użyciu, dźwięk jest wyraźny, a bas przyjemnie podbity. ",4,pozytywna
324,RTV,słuchawki,"Słuchawki działają bez zarzutu, dźwięk jest bardzo czysty, a wysokie i niskie tony świetnie wyważone. Kabel wydaje się solidny, a same słuchawki są wygodne nawet przy długim użytkowaniu. Zdecydowanie polecam!",4,pozytywna
325,RTV,słuchawki,"Jestem bardzo zadowolony z tych słuchawek. Dźwięk jest głęboki i czysty, a dodatkowo wyglądają bardzo stylowo. Wygodne, lekkie, a kabel wydaje się bardziej wytrzymały niż w większości modeli w tej cenie.",4,pozytywna
326,RTV,słuchawki,"To jeden z najlepszych zakupów, jakie zrobiłem. Słuchawki są bardzo wygodne, a dźwięk zachwyca. Bas jest mocny, ale nie przytłaczający, a kabel jest na tyle solidny, że nie plącze się zbyt często. ",4,pozytywna
328,RTV,słuchawki,"Najlepsze słuchawki, jakie miałem. Dźwięk jest fenomenalny!",5,pozytywna
329,RTV,słuchawki,"Czysty dźwięk, głęboki bas i świetny design. Polecam każdemu.",5,pozytywna
330,RTV,słuchawki,"Słuchawki są bardzo wygodne, a dźwięk na najwyższym poziomie.",5,pozytywna
331,RTV,słuchawki,"Brzmienie jest perfekcyjne, a kabel wydaje się bardzo trwały.",5,pozytywna
332,RTV,słuchawki,Idealne do każdego rodzaju muzyki. Produkt warty swojej ceny!,5,pozytywna
333,RTV,słuchawki,"Doskonały sprzęt, spełnia wszystkie moje oczekiwania. ",5,pozytywna
334,RTV,słuchawki,"To najlepsze słuchawki, jakie miałem okazję używać. Dźwięk jest bardzo czysty, a bas świetnie zbalansowany. Kabel jest wytrzymały i nie plącze się, a same słuchawki są niezwykle wygodne. Idealne do codziennego użytku!",5,pozytywna
335,RTV,słuchawki,"Słuchawki zaskoczyły mnie swoją jakością. Dźwięk jest niesamowicie czysty, a bas mocny i dynamiczny. Bardzo podoba mi się również design, który jest zarówno nowoczesny, jak i funkcjonalny. Gorąco polecam!",5,pozytywna
336,RTV,słuchawki,"To słuchawki, które spełniają wszystkie moje potrzeby. Dźwięk jest czysty, a bas głęboki. Wygodne w noszeniu, a kabel jest solidny i odporny na uszkodzenia. Używam ich codziennie i jestem zachwycony! ",5,pozytywna
338,RTV,GPS,"Bardzo powolne urządzenie, mapa ładuje się wieczność.",1,negatywna
339,RTV,GPS,"GPS gubi sygnał i często się zawiesza, co czyni go nieużytecznym.",1,negatywna
340,RTV,GPS,"Nie można na nim polegać, klawiatura często znika, a trasy się nie wczytują.",1,negatywna
341,RTV,GPS,"Wyświetlacz jest kiepski, prawie nic nie widać w słoneczny dzień.",1,negatywna
342,RTV,GPS,"Bateria wytrzymuje tylko kilka minut bez zasilania, co jest kompletnie niepraktyczne.",1,negatywna
343,RTV,GPS,"Urządzenie działa tylko wtedy, gdy ma idealne warunki, co w praktyce rzadko się zdarza. ",1,negatywna
344,RTV,GPS,"GPS okazał się totalnym rozczarowaniem. Wyświetlacz jest słabej jakości, sygnał gubi się nawet w otwartym terenie, a bateria wytrzymuje dosłownie kilka minut bez ładowania. Nawigowanie tym sprzętem jest koszmarem.",1,negatywna
345,RTV,GPS,"Urządzenie działa bardzo powoli, a interfejs jest skomplikowany i przestarzały. Mapy ładowały się tak długo, że w końcu zrezygnowałem z jego używania. Dodatkowo wyświetlacz jest praktycznie nieczytelny w słońcu.",1,negatywna
346,RTV,GPS,"Niestety, GPS zupełnie nie spełnił moich oczekiwań. Klawiatura znika w losowych momentach, a samo urządzenie często się zawiesza. Nawet najprostsze trasy nie są wczytywane poprawnie.",1,negatywna
348,RTV,GPS,"Urządzenie działa, ale bardzo wolno i często gubi sygnał.",2,negatywna
349,RTV,GPS,"Wyświetlacz jest bardzo przeciętny, trudno coś zobaczyć w słoneczny dzień.",2,negatywna
350,RTV,GPS,"Mapy są przestarzałe, a ich aktualizacja jest płatna i trudna do przeprowadzenia.",2,negatywna
351,RTV,GPS,"Bateria jest za słaba, by używać GPS bez podłączonego zasilania.",2,negatywna
352,RTV,GPS,"Interfejs jest nieintuicyjny, trzeba długo szukać podstawowych opcji.",2,negatywna
353,RTV,GPS,"Urządzenie działa poprawnie tylko w idealnych warunkach, co jest frustrujące. ",2,negatywna
354,RTV,GPS,"GPS ma potencjał, ale niestety został zmarnowany. Sygnał często się gubi, szczególnie w mieście, a bateria wytrzymuje zaledwie kilka minut. Mapy są przestarzałe, a aktualizacja jest trudna i kosztowna.",2,negatywna
355,RTV,GPS,"To urządzenie działa, ale jego użytkowanie jest bardzo uciążliwe. Wyświetlacz jest mały i słabo czytelny w jasnym świetle, a interfejs jest mało intuicyjny. Brakuje funkcji, które powinny być standardem w tego typu sprzęcie.",2,negatywna
356,RTV,GPS,"GPS ma kilka zalet, jak np. lekka konstrukcja, ale reszta to totalne rozczarowanie. Mapy są nieaktualne, sygnał często się gubi, a wyświetlacz jest kompletnie nieczytelny w słoneczny dzień.",2,negatywna
358,RTV,GPS,OK na krótkie trasy. ,3,neutralna
359,RTV,GPS,"Urządzenie działa poprawnie, ale brakuje mu nowoczesnych funkcji.",3,neutralna
360,RTV,GPS,"GPS spełnia swoje podstawowe zadanie, ale czasami zdarza mu się gubić sygnał.",3,neutralna
361,RTV,GPS,"Mapa ładuje się poprawnie, choć interfejs mógłby być bardziej intuicyjny.",3,neutralna
362,RTV,GPS,"Wyświetlacz jest czytelny tylko w słabym świetle, w słońcu jest problematyczny.",3,neutralna
363,RTV,GPS,"Działa dobrze na trasach międzymiastowych, ale w mieście bywa zawodny.",3,neutralna
364,RTV,GPS,"Bateria mogłaby być mocniejsza, ale do krótkich tras wystarczy.",3,neutralna
365,RTV,GPS,"Jest w porządku, choć mapy mogłyby być bardziej szczegółowe.",3,neutralna
366,RTV,GPS,"To GPS do podstawowych zastosowań, dla wymagających może być za słaby.",3,neutralna
367,RTV,GPS,"Nie jest zły, ale aktualizacja map jest zbyt kosztowna.",3,neutralna
368,RTV,GPS,"Działa poprawnie, ale czasami wolno reaguje na zmiany trasy.",3,neutralna
369,RTV,GPS,"Do codziennego użytku się nadaje, ale brakuje zaawansowanych opcji.",3,neutralna
370,RTV,GPS,"Jest przyzwoity, ale mógłby być bardziej trwały i szybki. ",3,neutralna
371,RTV,GPS,"Urządzenie spełnia swoje zadanie, ale tylko w podstawowym zakresie. Interfejs jest dość prosty, choć brakuje nowoczesnych funkcji, które oferują konkurencyjne modele. Wyświetlacz działa dobrze w ciemnym otoczeniu, ale w słońcu staje się mało czytelny.",3,neutralna
372,RTV,GPS,"GPS działa dobrze na krótszych trasach, ale na dłuższych zdarza się, że sygnał się gubi. Aktualizacja map jest czasochłonna i kosztowna, co dla wielu osób może być problemem.",3,neutralna
